ds,yhat,yhat_lower,yhat_upper
2020-06-30,0.7466709233115723,0.6651846140505776,0.8317649793048286
2020-07-31,0.7152165516588336,0.6342232669777574,0.7988626537157373
2020-08-31,0.6625546088300204,0.5753962999649607,0.7484457613780231
2020-09-30,0.6671378360858631,0.5821138042310124,0.7554513975754891
2020-10-31,0.7015322014260995,0.6209925031096578,0.7890426563403797
2020-11-30,0.652198912561668,0.5593585264911984,0.7393047440839646
2020-12-31,0.6265189915513043,0.5469240591911305,0.7146237265091757
2021-01-31,0.6296791368490706,0.5459277315887512,0.7074294467988936
2021-02-28,0.7082587378041252,0.6202032581253207,0.7900241857170238
2021-03-31,0.7195957892253907,0.6388840431906455,0.8017169206796658
2021-04-30,0.6833038782738806,0.5960929562511856,0.7695744388834943
2021-05-31,0.8146222960875719,0.7321462000774607,0.9003957216304574
